time,y1,y2,y3
0,0.3466236167739929,1.9229864112201938,1.9773385447179885
1,-0.423531510762412,1.815244986837378,0.3093182634287297
2,0.8388100195422679,0.5294092767447518,2.3939153553311407
3,2.948000020477774,4.617762280030524,3.8687019172620136
4,2.45167677777786,5.847212829121721,3.8923485802253577
5,5.4766419552463645,4.72575745115321,8.532849237909025
6,4.879323325885309,5.686661651185716,7.544480088340276
7,8.25876172347388,5.351542885848568,9.593184043973753
8,6.442649354518041,8.124701252873464,12.028011411613441
9,10.17816299109899,11.070663450465652,11.38092186367298
10,10.638275752972232,10.21068506001679,14.502901841924242
11,10.39655032109732,10.075927947286825,14.548589170502087
12,13.752753943890596,11.453232126495813,13.637309525792178
13,12.871660648894213,14.52673208008687,15.977125832484408
14,15.105225370942517,14.906371462715821,16.344717175111533
15,13.082135038555602,13.934245668163236,18.448606908623518
16,17.012134132693777,14.813559971997769,21.021432688836136
17,15.068090876715434,16.30445338493393,22.422137078073558
18,16.356537810690007,19.958208464469358,20.464579389514533
19,20.825401723837388,18.37126725210334,24.895029343034434
